web-scraper-order,web-scraper-start-url,Paginacja,Tytuł,Teksty
"1688744880-175","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-me-mine.htm","""I Me Mine""","All through the day 

        I me mine, I me mine, I me mine 

        All through the night 

        I me mine, I me mine, I me mine 

        Mow they're frightened of leaving it 

        Everyone's reading it 

        comin' on strong all the time"
"1688744883-176","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-just-dont-understand.htm","""I Just Don't Understand""","Lyrics go here"
"1688744886-177","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-got-to-find-my-baby.htm","""I Got To Find My Baby""","Lyrics go here"
"1688744889-178","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-got-a-woman.htm","""I Got A Woman""","Lyrics go here"
"1688744892-179","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-forgot-to-remember-to-forget.htm","""I Forgot To Remember To Forget""","Lyrics go here"
"1688744895-180","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-feel-fine.htm","""I Feel Fine""","Baby's good to me you know 

        She's happy as can be, you know 

        She said so 

        I'm in love with her and I feel fine"
"1688744898-181","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-dont-want-to-spoil-the-party.htm","""I Don't Want To Spoil The Party""","I don't want to spoil the party so I'll go 

        I would hate my disappointment to show 

        There's nothing for me here 

        So I will disappear 

        If she turns up while I'm gone, 

        please let me know"
"1688744901-182","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-call-your-name.htm","""I Call Your Name""","I call your name but you're not there 

        Was I to blame for being unfair 

        Oh I can't sleep at night 

        Since you've been gone 

        I never weep at night 

        I can't go on"
"1688744904-183","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-am-the-walrus.htm","""I Am The Walrus""","I am he as you are he as you are me 

        and we are all together 

        See how they run like pigs from a gun 

        see how they fly 

        I'm crying 

        Sitting on a cornflake 

        Waiting for the van to come 

        Corporation T-shirt, stupid bloody Tuesday 

        Man you've been a naughty boy 

        you let your face grow long"
"1688744910-184","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-honey-pie.htm","""Honey Pie""","She was a working girl 

        North of England way 

        Now she's in the big time 

        In the USA 

        And if she could only hear me 

        this is what I'd say"
"1688744913-185","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-honey-dont.htm","""Honey Don't""","Well, how come you say you will when you won't? 

        Say you do, baby when you don't 

        Let me know, honey, how you fell 

        Tell the truth now, is love real? 

        so, aw, aw"
"1688744916-186","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-hold-me-tight.htm","""Hold Me Tight""","It feels alright now 

        Hold me tight 

        Tell me I'm the only one 

        And then I might 

        Never be the lonely one"
"1688744919-187","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-hey-jude.htm","""Hey Jude""","Hey Jude, don't make it bad 

        take a sad song and make it better 

        Remember to let her into your heart 

        Then you can start to make it better"
"1688744922-188","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-hey-bulldog.htm","""Hey Bulldog""","Sheep dog standing in the rain 

        Bull grog doing it again 

        Some kind of happiness is 

        measured out in miles 

        What make you think you're 

        something special when you smile"
"1688744925-189","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-here-there-and-everywhere.htm","""Here, There And Everywhere""","To lead a better life 

        I need my love to be here"
"1688744928-190","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-here-comes-the-sun.htm","""Here Comes The Sun""","Here comes the sun, do do do do 

        Here comes the sun, and I say 

        It's all right"
"1688744931-191","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-her-majesty.htm","""Her Majesty""","Her majesty's a pretty nice girl 

        but she doesn't have a lot to say 

        Her majesty's a pretty nice girl 

        but she changes from day to day 

        I wanna tell her that I love her a lot 

        but I gotta get a belly full of wine 

        Her majesty's a pretty nice girl 

        someday I'm gonna make her mine 

        Oh, yeah, some day I'm gonna make her mine"
